Taxa,ala,arg,asp,gln,glu,Gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,try,val,Total,ShikFam,AspFam,AspFam_Asp,SerFam,GluFam,GluFam_glu,BCAA,PyrFam
7518,1.561762367,1.101194986,1.152137977,2.741964194,1.078648821,0.580811198,4.858214962,1.46439847,1.732236557,2.917910683,0.7743936,1.059566622,-1.511949693,-0.439326176,0.761297348,0.89038136,0.713440059,1.397038311,0.277473823,0.971355552,1.21479661,1.21479661,-0.000274132,0.590140587,0.882590651,1.199520878,1.004154753
7520,1.393477826,1.110376504,1.177007281,2.98880656,1.076467604,0.632840044,4.844469638,1.482059541,1.755014632,2.835007894,0.811842115,1.051443638,-1.710483622,-0.255882839,0.767099187,0.898697205,0.708128382,1.403143573,0.273373511,0.966869139,1.234327171,1.234327171,0.190652652,0.600492951,0.943858797,1.211668465,0.950031347
7521,1.341749527,1.141922536,1.110994411,2.887842978,1.076939166,0.601564331,5.350554327,1.361727775,1.768715024,3.102713887,0.775467775,1.053919278,-1.535572289,-0.423797888,0.765748541,0.884896736,0.702794028,1.373303779,0.276254639,0.973130696,1.195484461,1.195484461,0.047015635,0.600651594,0.97893636,1.171420076,0.868014833
7522,1.367851208,1.097971829,1.279068993,2.628803947,1.082999822,0.706050262,4.036560369,1.469679186,1.75698913,2.7661002,0.776942277,1.054232961,-1.60186822,-0.158576474,0.787781465,0.887338747,0.720608964,1.350044799,0.245930723,0.971895958,NaN,NaN,0.317363949,0.57705202,0.86543706,1.175881835,0.922478649
7523,1.346720727,1.128467379,1.202692548,2.868918739,1.080399374,0.657862441,4.177073884,1.538928855,1.810717618,2.915692823,0.756355364,1.046981983,-1.604710397,-0.358144008,0.77279785,0.878919231,0.712859402,1.38205127,0.264379439,0.967527193,1.256126416,1.256126416,0.156440581,0.589567104,0.923832569,1.230890182,0.931628352
7525,1.255899386,1.142891467,1.116282133,2.965200563,1.077236399,0.524198512,5.285753956,1.473863819,1.717914852,3.086434526,0.760678813,1.047046432,-1.484794679,-0.458884554,0.76002765,0.892670924,0.700965882,1.395423753,0.284649263,0.967564347,1.188509036,1.188509036,-0.083123899,0.600838253,0.973807347,1.195774099,0.88848504
8213,1.43021673,1.094904266,1.134111092,2.617213167,1.085044385,0.661146155,4.780542422,1.364099696,1.664199039,2.777955668,0.769161112,1.049899404,-1.75793648,-0.3306345,0.76374651,0.904608058,0.725018007,1.251851352,0.264789013,0.963090843,1.208159742,1.208159742,0.189369182,0.573406963,0.890471559,1.058457758,0.908571602
8214,1.264093273,1.180195689,1.142430134,2.894387646,1.079402419,0.615098677,5.15765325,1.459826195,1.710990106,3.030784671,0.767072536,1.047141346,-1.724799744,-0.522900498,0.767851917,0.900542113,0.712842957,1.366535007,0.276355445,0.967526449,1.210547311,1.210547311,0.136586244,0.59830906,1.05318068,1.173682522,0.871554222
8215,1.37247545,1.151962055,1.148700782,2.777828368,1.081894981,0.572112963,5.122723357,1.456385203,1.732955631,3.167294469,0.760918692,1.046208105,-1.655255279,-0.263923377,0.751891334,0.946485599,0.716568203,1.331233371,0.269048709,0.953628254,1.207640688,1.207640688,0.09619417,0.588234828,0.982032419,1.153739653,0.908970917
8222,1.310956878,1.109753179,1.184603327,2.348637597,1.080112179,0.646889617,4.217833691,1.357408709,1.569998147,2.797351747,0.794720828,1.059231981,-1.506843127,-0.159224387,0.760638099,0.90397875,0.723374745,1.298307066,0.26320763,0.966611858,1.236548156,1.236548156,0.261943726,0.582473913,0.845267093,1.060496143,0.858370056
8235,1.410944245,1.144619472,1.13084529,2.914156156,1.075319953,0.602134423,5.13179098,1.476001959,1.737669012,3.092523693,0.806198433,1.064150353,-1.473088394,-0.28404578,0.775964872,0.886422229,0.720105614,1.372665192,0.281501973,0.970866005,1.210145077,1.210145077,0.131676852,0.604681264,0.976202416,1.187653971,0.943469793
8236,1.342918357,1.112417809,1.151146491,2.925677857,1.081918948,0.642582717,5.230914863,1.493539966,1.726605961,3.06051331,0.776720557,1.054068876,-1.490222412,-0.547038335,0.75044613,0.906257692,0.702012034,1.400561041,0.273309275,0.967950624,1.207889541,1.207889541,0.050733967,0.585364923,0.920403638,1.207380332,0.916055332
8239,1.265251492,1.129536919,1.104597369,2.958414417,1.079270584,0.64837705,5.679927072,1.584275414,1.896271553,3.250307466,0.762080586,1.034573695,-1.632237398,-0.61984038,0.743609675,0.863051629,0.693136038,1.4467381,0.287593204,0.969374282,1.166012065,1.166012065,0.01766066,0.595478585,0.98179608,1.307660237,0.92527533
8240,1.621637228,1.127593826,1.128018079,2.754311994,1.075125025,0.588333814,3.810977818,1.483757747,1.752767509,3.114271741,0.770477307,1.055533435,-1.682589825,-0.299381057,0.777388069,0.888087825,0.695315781,1.364750965,0.278363162,0.973697022,1.223535775,1.223535775,0.101533033,0.602203526,0.914721872,1.189300298,1.00894431
8241,1.599743053,1.138384718,1.114011399,2.940581739,1.07358576,0.560260007,5.54986148,1.54416906,1.832204708,3.284509563,0.776580285,1.070705648,-1.495758315,-0.38606745,0.764846068,0.884684823,0.687411536,1.466574201,0.293396769,0.975864713,1.187444959,1.187444959,0.022093,0.610866189,0.977368292,1.294266755,1.060523601
8256,1.364541454,1.160719554,1.095001932,3.12720701,1.07632719,0.527977126,5.745553995,1.450220737,1.776671512,3.268144499,0.767987744,1.052610628,-1.609536364,-0.476145165,0.748161382,0.899264254,0.703988019,1.421130373,0.292732312,0.967476605,1.165105135,1.165105135,-0.09023478,0.606511691,1.045252254,1.215928927,0.94768817
8264,1.382751487,1.131267751,1.202783495,2.673237816,1.076020955,0.612572648,4.984361394,1.482600885,1.758038154,2.838400115,0.764928385,1.050071863,-1.602896029,-0.373256739,0.768875402,0.8886964,0.706874942,1.393770939,0.268919334,0.969261988,1.257017334,1.257017334,0.088246615,0.600450085,0.9433681,1.208439955,0.94379057
