Taxa,ile_BCAA,leu_BCAA,val_BCAA,gln_GluFamCorr,glu_GluFamCorr,his_GluFam,ile_GluFamCorr,leu_GluFamCorr,pro_GluFamCorr,val_GluFamCorr,ala_t,arg_t,asp_t,gln_t,glu_t,Gly_t,his_t,ile_t,leu_t,lys_t,met_t,phe_t,pro_t,ser_t,trp_t,try_t,val_t
7026,0.273927391,0.574263306,0.544423854,10.81013754,0.688494597,123.424641,0.387467789,1.198950579,0.355973734,0.647212884,0.229816148,1.313310496,10.12073743,0.905931459,43.7201808,2.3433999,1.276598054,0.997219248,0.963547973,0.755466497,0.938913679,1.497246541,1.070843597,1.782753289,1.670613447,1.143455137,1.140454544
7031,0.269510041,0.559500343,0.567569001,9.332038877,0.668149287,113.4842767,0.375870037,1.209313315,0.341769175,0.642348654,0.204925897,1.347356638,10.97574551,0.725497681,47.21528257,2.258778316,1.105577693,0.993850227,0.983318,0.73615979,0.933090861,1.514993779,1.059317479,1.699425861,1.570251825,1.080290822,1.148296395
7035,0.292876234,0.570966756,0.531146441,9.399781645,0.609598663,95.56067736,0.402355465,1.196492943,0.370401058,0.650164352,0.217997492,1.348452415,10.73606075,0.748953944,42.07424919,2.477318805,1.024082081,1.036797335,0.945460119,0.739336605,0.921160892,1.481356135,1.103258235,1.804619275,1.614964603,1.145062518,1.152441566
7062,0.288169471,0.574143279,0.530942936,9.421624184,0.640218009,104.431648,0.409232988,1.191283434,0.333295261,0.65797106,0.220370789,1.367119496,8.134826389,0.764397147,43.04736423,2.349923294,1.089175767,1.045211143,0.933243171,0.710909001,0.943572106,1.661056139,1.024448773,1.698380386,1.589350194,1.14396615,1.161876604
7064,0.28133155,0.567207793,0.547181941,8.013948365,NaN,75.15693047,0.408377577,1.192258719,0.37022282,0.663437644,0.192466941,NaN,7.912004064,0.724328789,36.40472048,2.261023092,0.826482622,1.052511126,0.925911563,0.633624033,0.930039417,1.455483355,1.103752937,1.824568474,1.678356232,1.200021786,1.179949163
7069,0.255755154,0.539264674,0.608559995,9.20168518,0.670329646,99.13383072,0.380761089,1.209569876,0.348894265,0.663940404,0.200167988,1.294793785,11.94667972,0.755600733,41.62612316,2.344143776,1.094847747,0.975731244,1.013846831,0.766024614,0.939496286,1.41673903,1.054737648,1.925332732,1.628237567,1.148402148,1.163509838
7071,0.276119389,0.558372604,0.562613933,10.51393489,0.67724992,122.9596623,0.389609816,1.203802658,0.337066681,0.651652814,0.24489884,1.341799144,10.17824441,0.858418669,44.64095058,2.168483414,1.236615889,1.008708776,0.976505277,0.70962442,0.924980903,1.612301467,1.038020118,1.785418105,1.670032063,1.187572787,1.153936683
7075,0.294221038,0.565673042,0.536868798,9.272239359,0.643737366,106.1123086,0.412087393,1.194342668,0.380444822,0.65805641,0.213723101,1.320653893,11.30424227,0.762705237,40.37708592,2.303866677,1.167094543,1.03628918,0.955816552,0.785798547,0.905723039,1.416002732,1.105850245,1.810494979,1.642761183,1.116964192,1.150920271
7078,0.236507855,0.566906079,0.586492358,9.757433735,0.671259515,138.0127784,0.35335058,1.211015624,0.342882875,0.639282674,0.200083046,1.350944537,11.3254629,0.764491495,46.52519467,2.078898467,1.310118463,0.942203623,0.994741711,0.740466156,0.896958597,1.612336383,1.057459412,1.774066114,1.59132955,1.133652118,1.139247642
7080,0.279860816,0.5724746,0.541270031,9.584495058,0.676000353,113.5253462,0.395320343,1.197274826,0.363337581,0.650730921,0.186492959,1.300469229,11.32285511,0.783192396,43.34125083,2.396140504,1.187088894,1.014102179,0.957485472,0.737034607,0.925762557,1.402804535,1.084912513,1.7169041,1.645906725,1.091005828,1.147186454
